name,radius,value,category,colour,label,type
"Watch, Clock & Jewellers Repairs",75,29.31034483,Service,Positive ,,
Safe Deposit Boxes,9,28.57142857,Service,Positive ,,
Swimming Pool Dealers & Installers,5,25,Service,Positive ,,
Stonemason,54,22.72727273,Service,Positive ,,
Nail Salons,2148,21.3559322,Service,Positive ,,
Barbers,6199,20.6970405,Service,Positive ,yes,
Beauty Salons,4176,20.24186582,Service,Positive ,,
Hearing Aids,801,19.91017964,Service,Positive ,,
ATM Lobby,26,18.18181818,Service,Positive ,,
Health Clubs,1486,16.45768025,Service,Positive ,,
Delivery Services,37,15.625,Service,Positive ,,
Builders,216,15.50802139,Service,Positive ,,
Language Schools,102,13.33333333,Service,Positive ,,
Tattooing & Piercing,1697,11.79183136,Service,Positive ,,
Dancing School,228,11.76470588,Service,Positive ,,
Alternative & Complementary Medicines,2013,10.30136986,Service,Positive ,yes,
Clothing Repairs & Alterations,490,9.375,Service,Positive ,,
Cosmetic Surgery,188,9.302325581,Service,Positive ,,
Leisure Centres & Swimming Baths,202,9.189189189,Service,Positive ,,
Funeral Directors and Monumental Masons,1446,9.049773756,Service,Positive ,,
Financial Advisors,900,8.303249097,Service,Positive ,,
MOT Testing Centres,79,6.756756757,Service,Positive ,,
Joiners,67,6.349206349,Service,Positive ,,
Veterinary Surgeons & Practitioners,382,5.817174515,Service,Positive ,,
Sports Clubs,246,5.579399142,Service,Positive ,,
Hair & Beauty Salons,3560,5.107764984,Service,Positive ,,
Car Wash & Valet Services,253,3.68852459,Service,Positive ,,
Bureaux de Change,336,3.384615385,Service,Positive ,,
Dentists,2448,2.426778243,Service,Positive ,,
Tanning Shops,910,1.5625,Service,Positive ,,
Credit Unions,146,0,Service,Positive ,,
Taxidermists,1,0,Service,Positive ,,
Translation Agencies,6,0,Service,Positive ,,
Hairdressers,8631,-0.173490632,Service,Positive ,yes,
Mortgage Companies & Advisors,354,-0.840336134,Service,Positive ,,
Garage Services,1092,-0.907441016,Service,Positive ,,
Opticians,3459,-1.00171723,Service,Positive ,,
Libraries,731,-1.082543978,Service,Positive ,,
Laundries & Launderettes,486,-1.419878296,Service,Positive ,,
Shoe Repairs,1104,-2.040816327,Service,Positive ,,
Chartered Surveyors,275,-2.482269504,Service,Positive ,,
Tyre Dealers,204,-2.857142857,Service,Positive ,,
Estate Agents,8840,-3.808487486,Service,Positive ,,
Mobility Services,377,-5.037783375,Service,Positive ,,
Glaziers,125,-5.303030303,Service,Positive ,,
Central Heating - Installation & Servicing,83,-5.681818182,Service,Positive ,,
Cosmetic Dentistry,284,-5.960264901,Service,Positive ,,
Recruitment Agencies,2133,-6.035242291,Service,Positive ,,
Locksmiths,196,-6.220095694,Service,Positive ,,
Car Body Repairs,262,-6.428571429,Service,Positive ,,
"Postal, Packing & Shipping",284,-6.578947368,Service,Positive ,,
Plumbers,96,-6.796116505,Service,Positive ,,
Letting Agents,1282,-6.899055919,Service,Positive ,,
Dry Cleaners,1603,-6.964596634,Service,Positive ,,
Post Office Services,1637,-7.252124646,Service,Positive ,,
Building Societies,1238,-7.611940299,Service,Positive ,,
Sign Shops,115,-8,Service,Positive ,,
Tour Operators,123,-8.208955224,Service,Positive ,,
Car & Van Hire,291,-8.777429467,Service,Positive ,,
Car Breakdown & Recovery Service,19,-9.523809524,Service,Positive ,,
Herbalists,66,-9.589041096,Service,Positive ,,
Storage & Removals,107,-10.08403361,Service,Positive ,,
Electricians,67,-10.66666667,Service,Positive ,,
Job Centres,443,-11.04417671,Service,Positive ,,
Wedding Companies,131,-11.48648649,Service,Positive ,,
"Carpet, Curtain & Upholstery Cleaners",167,-11.64021164,Service,Positive ,,
Auctioneers & Valuers,102,-12.82051282,Service,Positive ,,
Hire Centres,112,-13.17829457,Service,Positive ,,
Pawnbrokers,891,-13.7463698,Service,Positive ,,
Photographers,428,-13.8832998,Service,Positive ,,
Engraving,144,-14.28571429,Service,Positive ,,
Film Developers,253,-15.10067114,Service,Positive ,,
Car Accessories & Parts,365,-17.23356009,Service,Positive ,,
Banks & Other Financial Institutions,5242,-17.90133125,Service,Positive ,,
Insurance Agents,776,-20,Service,Positive ,,
Travel Agents,2071,-20.25413939,Service,Positive ,,
Driving Schools,37,-21.27659574,Service,Positive ,,
Picture & Picture Frame Restoration,36,-21.73913043,Service,Positive ,,
Laser Eye Treatment,50,-27.53623188,Service,Positive ,,
Antiques - Repairing & Restoring,24,-31.42857143,Service,Positive ,,
Cheque Cashing,385,-40.1244168,Service,Positive ,,
Miscellaneous,131,-46.96356275,Service,Positive ,,
Hotel Reservations,1,-50,Service,Positive ,,
Restaurant - Jamaican,21,75,Leisure,Positive ,,
Restaurant - Iraqi,14,75,Leisure,Positive ,,
Restaurant - Belgian,7,75,Leisure,Positive ,,
Holiday Accommodation & Parks,16,60,Leisure,Positive ,,
Restaurant - Caribbean,127,53.01204819,Leisure,Positive ,,
Restaurant - Middle Eastern,122,52.5,Leisure,Positive ,,
Party Venues & Function Rooms,170,50.44247788,Leisure,Positive ,,
Restaurant - Asian,192,50,Leisure,Positive ,,
Restaurant - Oceanic,6,50,Leisure,Positive ,,
Restaurant - Pizzeria,461,48.23151125,Leisure,Positive ,,
Lounge Bars,194,43.7037037,Leisure,Positive ,,
Restaurant - African,107,42.66666667,Leisure,Positive ,,
Restaurant - Cuban,7,40,Leisure,Positive ,,
Restaurant - Eastern European,23,35.29411765,Leisure,Positive ,,
Restaurant - Turkish,380,33.8028169,Leisure,Positive ,,
Restaurant - Colombian,4,33.33333333,Leisure,Positive ,,
Restaurant - German,4,33.33333333,Leisure,Positive ,,
Restaurant - American,571,30.66361556,Leisure,Positive ,,
Golf Courses,22,29.41176471,Leisure,Positive ,,
Juice Bars,169,27.06766917,Leisure,Positive ,,
Restaurant - Argentinian,62,26.53061224,Leisure,Positive ,,
Restaurant - Korean,104,25.30120482,Leisure,Positive ,,
Restaurant - South American,61,24.48979592,Leisure,Positive ,,
Restaurant - Philippine,6,20,Leisure,Positive ,,
Restaurant - Vietnamese,129,19.44444444,Leisure,Positive ,,
Restaurant & Bar,2320,19.40298507,Leisure,Positive ,,
Restaurant - Polish,34,17.24137931,Leisure,Positive ,,
Restaurant - Afghan,14,16.66666667,Leisure,Positive ,,
Restaurant - Greek,171,16.32653061,Leisure,Positive ,,
Restaurant - Japanese,576,15.43086172,Leisure,Positive ,,
Pizza Takeaway,1468,14.50858034,Leisure,Positive ,,
Restaurant - Creperie,17,13.33333333,Leisure,Positive ,,
Restaurant - Russian,9,12.5,Leisure,Positive ,,
Restaurant - Lebanese,172,12.41830065,Leisure,Positive ,,
Coffee Shops,2199,9.785322017,Leisure,Positive ,yes,
Serviced Apartments,172,9.554140127,Leisure,Positive ,,
Restaurant - Nepalese,86,8.860759494,Leisure,Positive ,,
Restaurant - Portuguese,209,8.854166667,Leisure,Positive ,,
Restaurant - Thai,745,8.442503639,Leisure,Positive ,,
Restaurant - English,249,8.260869565,Leisure,Positive ,,
Holiday Flats,44,7.317073171,Leisure,Positive ,,
Restaurant - Mediterranean,239,7.174887892,Leisure,Positive ,,
Hotels - 4 Stars,483,7.095343681,Leisure,Positive ,,
Bars,3762,6.814310051,Leisure,Positive ,,
Restaurant - Other,205,6.770833333,Leisure,Positive ,,
Chinese Fast Food Takeaway,1539,6.578947368,Leisure,Positive ,,
Restaurant - Brazilian,52,6.12244898,Leisure,Positive ,,
Hotels - Others,818,5.821474774,Leisure,Positive ,,
Cafe & Tearoom,10483,5.590249799,Leisure,Positive ,,
Hostels,208,5.050505051,Leisure,Positive ,,
Sports Grounds & Stadiums,28,3.703703704,Leisure,Positive ,,
Indian Takeaway,663,3.432137285,Leisure,Positive ,,
Restaurant - Vegetarian,69,2.985074627,Leisure,Positive ,,
Restaurant - Iranian,35,2.941176471,Leisure,Positive ,,
Take Away Food Shops,4749,2.151000215,Leisure,Positive ,,
Bowling Alleys,48,2.127659574,Leisure,Positive ,,
Restaurant - British,659,1.384615385,Leisure,Positive ,,
Theatres & Concert Halls,598,1.355932203,Leisure,Positive ,,
Museums & Art Galleries,531,1.335877863,Leisure,Positive ,,
Cinemas,272,1.115241636,Leisure,Positive ,,
Restaurant - Spanish,286,1.060070671,Leisure,Positive ,,
Tourist Attractions,304,0.996677741,Leisure,Positive ,,
Restaurant - Mauritian,2,0,Leisure,Positive ,,
Restaurant - Scandinavian,2,0,Leisure,Positive ,,
Disco Equipment - Hire & Sales,16,0,Leisure,Positive ,,
Ice Rinks,11,0,Leisure,Positive ,,
Race Courses,1,0,Leisure,Positive ,,
Restaurant - Austrian,3,0,Leisure,Positive ,,
Restaurant - Continental,115,0,Leisure,Positive ,,
Restaurant - Danish,1,0,Leisure,Positive ,,
Restaurant - Irish,0,0,Leisure,Positive ,,
Restaurant - Southwestern,0,0,Leisure,Positive ,,
Restaurant - Sudanese,0,0,Leisure,Positive ,,
Restaurant - Swiss,1,0,Leisure,Positive ,,
Restaurant - Tibetan,1,0,Leisure,Positive ,,
Restaurant Cruises,3,0,Leisure,Positive ,,
Yacht & Sailing Clubs,4,0,Leisure,Positive ,,
Restaurant - French,353,-0.563380282,Leisure,Positive ,,
Restaurant - Italian,2462,-0.605571256,Leisure,Positive ,,
Casino Clubs,108,-0.917431193,Leisure,Positive ,,
Hotels - 3 Stars,1047,-0.946073794,Leisure,Positive ,,
Fast Food Takeaway,5104,-1.276595745,Leisure,Positive ,,
Restaurant - European,185,-1.595744681,Leisure,Positive ,,
Restaurant - Mexican/Tex Mex,240,-1.639344262,Leisure,Positive ,,
Restaurant - Seafood,162,-1.818181818,Leisure,Positive ,,
Hotels - 5 Stars,90,-2.173913043,Leisure,Positive ,,
Fish & Chip Shops,1807,-3.057939914,Leisure,Positive ,,
Social Clubs,278,-3.135888502,Leisure,Positive ,,
Bingo Halls,149,-3.246753247,Leisure,Positive ,,
Guesthouses,444,-3.47826087,Leisure,Positive ,,
Paintball & Combat Games,27,-3.571428571,Leisure,Positive ,,
Bookmakers,4142,-4.341801386,Leisure,Positive ,,
"Cake Makers, Decorators & Supplies",324,-4.705882353,Leisure,Positive ,,
Public Houses & Inns,8578,-4.952908587,Leisure,Positive ,yes,
"Snooker, Billiards & Pool Halls",191,-4.975124378,Leisure,Positive ,,
Bed & Breakfast,612,-6.134969325,Leisure,Positive ,,
Restaurant - Chinese,1306,-7.637906648,Leisure,Positive ,,
