date,UK LFS: Unemployment: aged 16+ VOLA
31/01/2000,1685
29/02/2000,1682
31/03/2000,1655
28/04/2000,1640
31/05/2000,1599
30/06/2000,1551
31/07/2000,1529
31/08/2000,1548
29/09/2000,1571
31/10/2000,1540
30/11/2000,1520
29/12/2000,1504
31/01/2001,1516
28/02/2001,1481
30/03/2001,1459
30/04/2001,1431
31/05/2001,1468
29/06/2001,1472
31/07/2001,1483
31/08/2001,1487
28/09/2001,1487
31/10/2001,1495
30/11/2001,1520
31/12/2001,1518
31/01/2002,1508
28/02/2002,1515
29/03/2002,1522
30/04/2002,1542
31/05/2002,1520
28/06/2002,1527
31/07/2002,1539
30/08/2002,1566
30/09/2002,1546
31/10/2002,1532
29/11/2002,1516
31/12/2002,1480
31/01/2003,1517
28/02/2003,1531
31/03/2003,1517
30/04/2003,1486
30/05/2003,1467
30/06/2003,1506
31/07/2003,1504
29/08/2003,1502
30/09/2003,1473
31/10/2003,1461
28/11/2003,1457
31/12/2003,1442
30/01/2004,1436
27/02/2004,1434
31/03/2004,1437
30/04/2004,1435
31/05/2004,1437
30/06/2004,1423
30/07/2004,1405
31/08/2004,1401
30/09/2004,1397
29/10/2004,1407
30/11/2004,1423
31/12/2004,1425
31/01/2005,1447
28/02/2005,1416
31/03/2005,1420
29/04/2005,1436
31/05/2005,1437
30/06/2005,1424
29/07/2005,1420
31/08/2005,1437
30/09/2005,1500
31/10/2005,1538
30/11/2005,1567
30/12/2005,1551
31/01/2006,1584
28/02/2006,1604
31/03/2006,1633
28/04/2006,1664
31/05/2006,1685
30/06/2006,1698
31/07/2006,1690
31/08/2006,1693
29/09/2006,1691
31/10/2006,1674
30/11/2006,1701
29/12/2006,1703
31/01/2007,1708
28/02/2007,1704
30/03/2007,1692
30/04/2007,1670
31/05/2007,1658
29/06/2007,1645
31/07/2007,1645
31/08/2007,1650
28/09/2007,1629
31/10/2007,1633
30/11/2007,1608
31/12/2007,1617
31/01/2008,1622
29/02/2008,1622
31/03/2008,1667
30/04/2008,1625
30/05/2008,1680
30/06/2008,1724
31/07/2008,1793
29/08/2008,1840
30/09/2008,1875
31/10/2008,1941
28/11/2008,2003
31/12/2008,2057
30/01/2009,2128
27/02/2009,2235
31/03/2009,2296
30/04/2009,2395
29/05/2009,2448
30/06/2009,2478
31/07/2009,2484
31/08/2009,2475
30/09/2009,2484
30/10/2009,2455
30/11/2009,2453
31/12/2009,2434
29/01/2010,2496
26/02/2010,2526
31/03/2010,2510
30/04/2010,2508
31/05/2010,2488
30/06/2010,2488
30/07/2010,2476
31/08/2010,2470
30/09/2010,2513
29/10/2010,2502
30/11/2010,2503
31/12/2010,2524
31/01/2011,2492
28/02/2011,2483
31/03/2011,2462
29/04/2011,2500
31/05/2011,2540
30/06/2011,2556
29/07/2011,2612
31/08/2011,2664
30/09/2011,2680
31/10/2011,2708
30/11/2011,2684
30/12/2011,2670
31/01/2012,2653
29/02/2012,2633
30/03/2012,2624
30/04/2012,2605
31/05/2012,2582
29/06/2012,2607
31/07/2012,2550
31/08/2012,2538
28/09/2012,2536
31/10/2012,2532
30/11/2012,2536
31/12/2012,2538
31/01/2013,2585
28/02/2013,2542
29/03/2013,2527
30/04/2013,2510
31/05/2013,2514
28/06/2013,2492
31/07/2013,2502
30/08/2013,2481
30/09/2013,2406
31/10/2013,2340
29/11/2013,2359
31/12/2013,2343
31/01/2014,2257
28/02/2014,2214
31/03/2014,2164
30/04/2014,2109
30/05/2014,2060
30/06/2014,2009
31/07/2014,1969
29/08/2014,1955
30/09/2014,1956
31/10/2014,1924
28/11/2014,1875
31/12/2014,1864
30/01/2015,1841
27/02/2015,1832
31/03/2015,1818
30/04/2015,1846
29/05/2015,1848
30/06/2015,1822
31/07/2015,1774
31/08/2015,1750
30/09/2015,1718
30/10/2015,1685
30/11/2015,1694
31/12/2015,1691
29/01/2016,1700
29/02/2016,1692
31/03/2016,1671
29/04/2016,1646
31/05/2016,1641
