id,constituency,county,region,country,Conservative Party,Liberal Democrats,Labour 
E14000532,ALTRINCHAM AND SALE WEST,Greater Manchester,North West,England,0.51,0.08,0.39
E14000533,AMBER VALLEY,Derbyshire,East Midlands,England,0.57,0.02,0.38
E14000534,ARUNDEL AND SOUTH DOWNS,West Sussex,South East,England,0.62,0.08,0.23
E14000535,ASHFIELD,Nottinghamshire,East Midlands,England,0.42,0.02,0.43
E14000536,ASHFORD,Kent,South East,England,0.59,0.05,0.30
E14000537,ASHTON-UNDER-LYNE,Greater Manchester,North West,England,0.32,0.02,0.60
E14000538,AYLESBURY,Buckinghamshire,South East,England,0.55,0.10,0.30
E14000539,BANBURY,Oxfordshire,South East,England,0.54,0.06,0.34
E14000540,BARKING,London,London,England,0.22,0.01,0.68
E14000541,BARNSLEY CENTRAL,South Yorkshire,Yorkshire and The Humber,England,0.24,0.01,0.64
E14000542,BARNSLEY EAST,South Yorkshire,Yorkshire and The Humber,England,0.27,0.02,0.60
E14000543,BARROW AND FURNESS,Cumbria,North West,England,0.47,0.03,0.47
E14000544,BASILDON AND BILLERICAY,Essex,Eastern,England,0.61,0.03,0.31
E14000545,BASINGSTOKE,Hampshire,South East,England,0.53,0.06,0.36
E14000546,BASSETLAW,Nottinghamshire,East Midlands,England,0.43,0.02,0.53
E14000547,BATH,Avon,South West,England,0.36,0.47,0.15
E14000548,BATLEY AND SPEN,West Yorkshire,Yorkshire and The Humber,England,0.39,0.02,0.55
E14000549,BATTERSEA,London,London,England,0.42,0.08,0.46
E14000550,BEACONSFIELD,Buckinghamshire,South East,England,0.65,0.08,0.21
E14000551,BECKENHAM,London,London,England,0.59,0.08,0.30
E14000552,BEDFORD,Bedfordshire,Eastern,England,0.45,0.06,0.47
E14000553,BERMONDSEY AND OLD SOUTHWARK,London,London,England,0.13,0.31,0.53
E14000554,BERWICK-UPON-TWEED,Northumberland,North East,England,0.52,0.21,0.25
E14000555,BETHNAL GREEN AND BOW,London,London,England,0.13,0.05,0.72
E14000556,BEVERLEY AND HOLDERNESS,Humberside,Yorkshire and The Humber,England,0.58,0.05,0.33
E14000557,BEXHILL AND BATTLE,East Sussex,South East,England,0.62,0.08,0.25
E14000558,BEXLEYHEATH AND CRAYFORD,London,London,England,0.56,0.03,0.35
E14000559,BIRKENHEAD,Merseyside,North West,England,0.18,0.03,0.77
E14000560,"BIRMINGHAM, EDGBASTON",West Midlands,West Midlands,England,0.39,0.04,0.55
E14000561,"BIRMINGHAM, ERDINGTON",West Midlands,West Midlands,England,0.38,0.02,0.58
E14000562,"BIRMINGHAM, HALL GREEN",West Midlands,West Midlands,England,0.15,0.06,0.78
E14000563,"BIRMINGHAM, HODGE HILL",West Midlands,West Midlands,England,0.14,0.02,0.81
E14000564,"BIRMINGHAM, LADYWOOD",West Midlands,West Midlands,England,0.13,0.03,0.83
E14000565,"BIRMINGHAM, NORTHFIELD",West Midlands,West Midlands,England,0.43,0.02,0.53
E14000566,"BIRMINGHAM, PERRY BARR",West Midlands,West Midlands,England,0.27,0.02,0.68
E14000567,"BIRMINGHAM, SELLY OAK",West Midlands,West Midlands,England,0.32,0.03,0.63
