date,l,r
23/06/2016 07:10,1.323,13.23
23/06/2016 07:20,1.32,13.2
23/06/2016 07:30,1.314,13.14
23/06/2016 07:40,1.315,13.15
23/06/2016 07:50,1.322,13.22
23/06/2016 08:00,1.318,13.18
23/06/2016 08:10,1.323,13.23
23/06/2016 08:20,1.331,13.31
23/06/2016 08:30,1.328,13.28
23/06/2016 08:40,1.327,13.27
23/06/2016 08:50,1.33,13.3
23/06/2016 09:00,1.329,13.29
23/06/2016 09:10,1.332,13.32
23/06/2016 09:20,1.342,13.42
23/06/2016 09:30,1.358,13.58
23/06/2016 09:40,1.35,13.5
23/06/2016 09:50,1.348,13.48
23/06/2016 10:00,1.355,13.55
23/06/2016 10:10,1.364,13.64
23/06/2016 10:20,1.377,13.77
23/06/2016 10:30,1.391,13.91
23/06/2016 10:40,1.372,13.72
23/06/2016 10:50,1.368,13.68
23/06/2016 11:00,1.366,13.66
23/06/2016 11:10,1.367,13.67
23/06/2016 11:20,1.368,13.68
23/06/2016 11:30,1.368,13.68
23/06/2016 11:40,1.364,13.64
23/06/2016 11:50,1.368,13.68
23/06/2016 12:00,1.368,13.68
23/06/2016 12:10,1.381,13.81
23/06/2016 12:20,1.387,13.87
23/06/2016 12:30,1.379,13.79
23/06/2016 12:40,1.381,13.81
23/06/2016 12:50,1.389,13.89
23/06/2016 13:00,1.391,13.91
23/06/2016 13:10,1.38,13.8
23/06/2016 13:20,1.37,13.7
23/06/2016 13:30,1.374,13.74
23/06/2016 13:40,1.368,13.68
23/06/2016 13:50,1.36,13.6
23/06/2016 14:00,1.361,13.61
23/06/2016 14:10,1.361,13.61
23/06/2016 14:20,1.359,13.59
23/06/2016 14:30,1.36,13.6
23/06/2016 14:40,1.35,13.5
23/06/2016 14:50,1.356,13.56
23/06/2016 15:00,1.365,13.65
23/06/2016 15:10,1.367,13.67
23/06/2016 15:20,1.37,13.7
23/06/2016 15:30,1.38,13.8
23/06/2016 15:40,1.373,13.73
23/06/2016 15:50,1.372,13.72
23/06/2016 16:00,1.376,13.76
23/06/2016 16:10,1.376,13.76
23/06/2016 16:20,1.378,13.78
23/06/2016 16:30,1.378,13.78
23/06/2016 16:40,1.378,13.78
23/06/2016 16:50,1.379,13.79
23/06/2016 17:00,1.385,13.85
24/06/2016 07:10,1.033,10.33
24/06/2016 07:20,1.046,10.46
24/06/2016 07:30,1.063,10.63
24/06/2016 07:40,1.076,10.76
24/06/2016 07:50,1.095,10.95
24/06/2016 08:00,1.109,11.09
24/06/2016 08:10,1.098,10.98
24/06/2016 08:20,1.102,11.02
24/06/2016 08:30,1.102,11.02
24/06/2016 08:40,1.091,10.91
24/06/2016 08:50,1.102,11.02
24/06/2016 09:00,1.088,10.88
24/06/2016 09:10,1.087,10.87
24/06/2016 09:20,1.083,10.83
24/06/2016 09:30,1.103,11.03
24/06/2016 09:40,1.097,10.97
24/06/2016 09:50,1.091,10.91
24/06/2016 10:00,1.085,10.85
24/06/2016 10:10,1.091,10.91
24/06/2016 10:20,1.082,10.82
24/06/2016 10:30,1.082,10.82
24/06/2016 10:40,1.059,10.59
24/06/2016 10:50,1.045,10.45
24/06/2016 11:00,1.044,10.44
24/06/2016 11:10,1.05,10.5
24/06/2016 11:20,1.051,10.51
24/06/2016 11:30,1.068,10.68
24/06/2016 11:40,1.075,10.75
24/06/2016 11:50,1.078,10.78
24/06/2016 12:00,1.066,10.66
24/06/2016 12:10,1.056,10.56
24/06/2016 12:20,1.056,10.56
24/06/2016 12:30,1.072,10.72
24/06/2016 12:40,1.081,10.81
24/06/2016 12:50,1.072,10.72
24/06/2016 13:00,1.081,10.81
24/06/2016 13:10,1.087,10.87
24/06/2016 13:20,1.087,10.87
24/06/2016 13:30,1.086,10.86
24/06/2016 13:40,1.081,10.81
24/06/2016 13:50,1.084,10.84
24/06/2016 14:00,1.094,10.94
24/06/2016 14:10,1.111,11.11
24/06/2016 14:20,1.113,11.13
24/06/2016 14:30,1.108,11.08
24/06/2016 14:40,1.107,11.07
24/06/2016 14:50,1.103,11.03
24/06/2016 15:00,1.099,10.99
24/06/2016 15:10,1.096,10.96
24/06/2016 15:20,1.096,10.96
24/06/2016 15:30,1.092,10.92
24/06/2016 15:40,1.094,10.94
24/06/2016 15:50,1.089,10.89
24/06/2016 16:00,1.088,10.88
24/06/2016 16:10,1.088,10.88
24/06/2016 16:20,1.077,10.77
24/06/2016 16:30,1.07,10.7
24/06/2016 16:40,1.074,10.74
24/06/2016 16:50,1.076,10.76
24/06/2016 17:00,1.086,10.86
27/06/2016 07:10,1.065,10.65
27/06/2016 07:20,1.061,10.61
27/06/2016 07:30,1.061,10.61
27/06/2016 07:40,1.045,10.45
27/06/2016 07:50,1.034,10.34
27/06/2016 08:00,1.024,10.24
27/06/2016 08:10,1.027,10.27
27/06/2016 08:20,1.009,10.09
27/06/2016 08:30,0.999,9.99
27/06/2016 08:40,0.992,9.92
27/06/2016 08:50,0.981,9.81
27/06/2016 09:00,0.947,9.47
27/06/2016 09:10,0.938,9.38
27/06/2016 09:20,0.958,9.58
27/06/2016 09:30,0.952,9.52
27/06/2016 09:40,0.961,9.61
27/06/2016 09:50,0.964,9.64
27/06/2016 10:00,0.96,9.6
27/06/2016 10:10,0.957,9.57
27/06/2016 10:20,0.966,9.66
27/06/2016 10:30,0.962,9.62
27/06/2016 10:40,0.958,9.58
27/06/2016 10:50,0.961,9.61
27/06/2016 11:00,0.955,9.55
27/06/2016 11:10,0.945,9.45
27/06/2016 11:20,0.951,9.51
27/06/2016 11:30,0.962,9.62
27/06/2016 11:40,0.959,9.59
27/06/2016 11:50,0.947,9.47
27/06/2016 12:00,0.95,9.5
27/06/2016 12:10,0.941,9.41
27/06/2016 12:20,0.936,9.36
27/06/2016 12:30,0.943,9.43
27/06/2016 12:40,0.936,9.36
27/06/2016 12:50,0.945,9.45
27/06/2016 13:00,0.943,9.43
27/06/2016 13:10,0.947,9.47
27/06/2016 13:20,0.949,9.49
27/06/2016 13:30,0.954,9.54
27/06/2016 13:40,0.95,9.5
27/06/2016 13:50,0.942,9.42
27/06/2016 14:00,0.947,9.47
27/06/2016 14:10,0.942,9.42
27/06/2016 14:20,0.937,9.37
27/06/2016 14:30,0.943,9.43
27/06/2016 14:40,0.947,9.47
27/06/2016 14:50,0.944,9.44
27/06/2016 15:00,0.936,9.36
27/06/2016 15:10,0.945,9.45
27/06/2016 15:20,0.951,9.51
27/06/2016 15:30,0.948,9.48
27/06/2016 15:40,0.948,9.48
27/06/2016 15:50,0.944,9.44
27/06/2016 16:00,0.937,9.37
27/06/2016 16:10,0.93,9.3
27/06/2016 16:20,0.936,9.36
27/06/2016 16:30,0.938,9.38
27/06/2016 16:40,0.938,9.38
27/06/2016 16:50,0.936,9.36
27/06/2016 17:00,0.932,9.32
