name,2000,2016,group,label
"Midland, TX",60000,90743,Best,yes
"Odessa, TX",53824,65498,Best,
"Grand Junction, CO",58787,65774,Best,
"Barnstable Town, MA",73015,80966,Best,
"New Orleans-Metairie, LA",56802,61743,Best,
"Burlington-South Burlington, VT",70212,76074,Best,
"Ocean City, NJ",60570,64401,Best,
"Lebanon, PA",69680,73925,Best,
"Lafayette, LA",60950,64605,Best,
"Wichita Falls, TX",59303,62637,Best,
"Albany-Schenectady-Troy, NY",73185,76768,,
"Gainesville, FL",54819,57471,,
"Kankakee, IL",66567,69630,,
"Amarillo, TX",60599,63254,,
"Johnstown, PA",60322,62795,,
"Lewiston-Auburn, ME",61821,64141,,
"Urban Honolulu, HI",64576,66939,,
"Charleston-North Charleston, SC",65305,67708,,
"Morgantown, WV",59013,61224,,
"Houma-Thibodaux, LA",57156,58867,,
"Pittsburgh, PA",67254,69002,,
"Virginia Beach-Norfolk-Newport News, VA-NC",68434,70124,,
"Norwich-New London, CT",78237,80192,,
"Dover, DE",66379,68044,,
"Baltimore-Columbia-Towson, MD",74760,76547,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",85930,87611,,
"Manchester-Nashua, NH",73656,75099,,
"Baton Rouge, LA",64554,65846,,
"Salisbury, MD-DE",70545,71875,,
"Bangor, ME",58848,59917,,
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",65856,66898,,
"Oklahoma City, OK",65212,66202,,
"Boston-Cambridge-Newton, MA-NH",78530,79625,,
"Worcester, MA-CT",70348,71278,,
"Anchorage, AK",76653,77460,,
"Lubbock, TX",56760,57302,,
"Pensacola-Ferry Pass-Brent, FL",63798,64356,,
"Providence-Warwick, RI-MA",67501,67875,,
"Joplin, MO",59711,59990,,
"Corpus Christi, TX",60005,59840,,
"Olympia-Tumwater, WA",70584,70203,,
"McAllen-Edinburg-Mission, TX",40015,39752,,
"Seattle-Tacoma-Bellevue, WA",78355,77627,,
"Flagstaff, AZ",58572,58028,,
"San Diego-Carlsbad, CA",64508,63841,,
"San Francisco-Oakland-Hayward, CA",79818,78969,,
"Laredo, TX",41215,40777,,
"Glens Falls, NY",63336,62435,,
"Hanford-Corcoran, CA",52697,51951,,
"Las Cruces, NM",47661,46863,,
"San Antonio-New Braunfels, TX",63765,62699,,
"Syracuse, NY",67120,65933,,
"Utica-Rome, NY",61964,60775,,
"Redding, CA",56153,55095,,
"Omaha-Council Bluffs, NE-IA",74227,72731,,
"Bridgeport-Stamford-Norwalk, CT",81924,80294,,
"Bremerton-Silverdale, WA",70306,68653,,
"Buffalo-Cheektowaga-Niagara Falls, NY",67431,65885,,
"State College, PA",58927,57579,,
"Atlantic City-Hammonton, NJ",62551,61133,,
"Portland-South Portland, ME",69908,68231,,
