area,code,region,continent,population,date,vaccinations,vaccinated_percent,vaccinations_new,vaccinations_new_7ma,vaccinations_new_7ma_perM,source,source_link,last_updated
Argentina,ARG,Argentina,Latam and Caribbean,44938712,06/01/2021,52195,0.116147076,5120,9209,204.9235412,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Argentina,ARG,Argentina,Latam and Caribbean,44938712,05/01/2021,NA,NA,6876,10714.14286,238.4167765,Our World in Data and FT estimate,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Argentina,ARG,Argentina,Latam and Caribbean,44938712,04/01/2021,NA,NA,7461,NA,NA,Our World in Data and FT estimate,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Argentina,ARG,Argentina,Latam and Caribbean,44938712,03/01/2021,NA,NA,8281,NA,NA,Our World in Data and FT estimate,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Argentina,ARG,Argentina,Latam and Caribbean,44938712,02/01/2021,NA,NA,9510,NA,NA,Our World in Data and FT estimate,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Argentina,ARG,Argentina,Latam and Caribbean,44938712,01/01/2021,16357,0.036398462,11559,NA,NA,Our World in Data and FT estimate,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Argentina,ARG,Argentina,Latam and Caribbean,44938712,31/12/2020,32013,0.071237022,15656,NA,NA,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Argentina,ARG,Argentina,Latam and Caribbean,44938712,30/12/2020,NA,NA,15656,NA,NA,Our World in Data and FT estimate,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Argentina,ARG,Argentina,Latam and Caribbean,44938712,29/12/2020,700,0.001557677,NA,NA,NA,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Austria,AUT,European Union,Europe,8877067,30/12/2020,6000,0.067589892,NA,NA,NA,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,06/01/2021,68472,4.172140397,1594,1196.142857,728.8345506,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,05/01/2021,63893,3.893132469,1122,1343,818.3176413,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,04/01/2021,61612,3.754146427,943,1589.285714,968.3846143,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,03/01/2021,60689,3.697906131,1011,1913.142857,1165.717461,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,02/01/2021,60097,3.661834348,1220,2291.857143,1396.475898,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,01/01/2021,59351,3.616379027,1258,2717.142857,1655.611269,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,31/12/2020,58643,3.573239124,1225,3364.428571,2050.015825,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,30/12/2020,57317,3.492443205,2622,4776,2910.115454,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,29/12/2020,56041,3.41469389,2846,NA,NA,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,28/12/2020,55014,3.352116658,3210,NA,NA,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
Bahrain,BHR,Middle East,Middle East,1641172,27/12/2020,53614,3.266811766,3662,NA,NA,Our World in Data,https://ourworldindata.org/covid-vaccinations,07/01/2021 15:55
